InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 8:26,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 8:26,2.75,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 8:26,3.39,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 8:26,3.39,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 8:26,7.65,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 8:26,4.25,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,12/1/2010 8:28,1.85,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 8:28,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 8:34,1.69,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,12/1/2010 8:34,2.1,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 8:34,2.1,13047,United Kingdom
536367,22749,FELT EGG COSY CHICK,6,12/1/2010 8:34,0.85,13047,United Kingdom
536367,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 8:34,4.25,13047,United Kingdom
536368,71053,WHITE METAL LANTERN,6,12/1/2010 8:35,3.39,13047,United Kingdom
536368,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 8:35,2.75,13047,United Kingdom
536368,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 8:35,3.39,13047,United Kingdom
536369,22745,POPPY'S PLAYHOUSE BEDROOM,6,12/1/2010 8:45,2.1,13047,United Kingdom
536369,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 8:45,2.1,13047,United Kingdom
536370,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/1/2010 9:00,2.55,12583,France
536370,22423,REGENCY CAKESTAND 3 TIER,3,12/1/2010 9:00,12.75,12583,France
536370,22629,HAND WARMER SCOTTY DOG DESIGN,3,12/1/2010 9:00,1.85,12583,France
536371,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 9:09,2.55,17850,United Kingdom
536371,71053,WHITE METAL LANTERN,6,12/1/2010 9:09,3.39,17850,United Kingdom
536372,22633,HAND WARMER UNION JACK,6,12/1/2010 9:17,1.85,13047,United Kingdom
536372,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 9:17,1.85,13047,United Kingdom
536373,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,12/1/2010 9:26,2.95,12583,France
536373,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 9:26,1.85,12583,France
536374,22139,BABY BUNTING VINTAGE PAISLEY,3,12/1/2010 9:41,4.95,12583,France
